".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","PD","9","23",9,24,28,0.000646,0.008,"**"
"2","PD","9","38",9,27,72,0.073,0.585,"ns"
"3","PD","9","53",9,34,94,0.081,0.585,"ns"
"4","PD","9","65",9,15,2,6.12e-06,9.18e-05,"****"
"5","PD","9","80",9,14,6,7.34e-05,0.001,"**"
"6","PD","23","38",24,27,339,0.786,1,"ns"
"7","PD","23","53",24,34,477,0.282,1,"ns"
"8","PD","23","65",24,15,72,0.001,0.015,"*"
"9","PD","23","80",24,14,173,0.893,1,"ns"
"10","PD","38","53",27,34,495,0.609,1,"ns"
"11","PD","38","65",27,15,89,0.002,0.023,"*"
"12","PD","38","80",27,14,163,0.488,1,"ns"
"13","PD","53","65",34,15,93,0.000256,0.003,"**"
"14","PD","53","80",34,14,179,0.187,1,"ns"
"15","PD","65","80",15,14,169,0.004,0.039,"*"
