".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","Observed_ASVs","9","23",9,24,24.5,0.000793,0.01,"*"
"2","Observed_ASVs","9","38",9,27,80,0.136,0.69,"ns"
"3","Observed_ASVs","9","53",9,34,91,0.066,0.53,"ns"
"4","Observed_ASVs","9","65",9,15,5,2.91e-05,0.000436,"***"
"5","Observed_ASVs","9","80",9,14,37.5,0.115,0.69,"ns"
"6","Observed_ASVs","23","38",24,27,364.5,0.45,1,"ns"
"7","Observed_ASVs","23","53",24,34,522,0.073,0.53,"ns"
"8","Observed_ASVs","23","65",24,15,99,0.019,0.188,"ns"
"9","Observed_ASVs","23","80",24,14,235.5,0.043,0.383,"ns"
"10","Observed_ASVs","38","53",27,34,496,0.599,1,"ns"
"11","Observed_ASVs","38","65",27,15,100.5,0.008,0.085,"ns"
"12","Observed_ASVs","38","80",27,14,210,0.577,1,"ns"
"13","Observed_ASVs","53","65",34,15,101,0.000554,0.008,"**"
"14","Observed_ASVs","53","80",34,14,257.5,0.666,1,"ns"
"15","Observed_ASVs","65","80",15,14,176,0.001,0.016,"*"
