"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","9 vs 38",1,2.47196360083912,9.5463220961776,0.219222235923698,1e-04,0.0015,"*"
"2","9 vs 23",1,2.5397509811987,13.0134165323715,0.295669310806632,1e-04,0.0015,"*"
"3","9 vs 53",1,2.68067418014825,10.9005849605223,0.210028171528582,1e-04,0.0015,"*"
"4","9 vs 80",1,3.13079107538065,17.8656595267279,0.459677250927434,1e-04,0.0015,"*"
"5","9 vs 65",1,2.9227708672309,15.9948733439901,0.420974514092441,1e-04,0.0015,"*"
"6","38 vs 23",1,1.70375597031165,7.39821521767531,0.131178179825746,1e-04,0.0015,"*"
"7","38 vs 53",1,1.62025698636921,6.24111832825383,0.0956623443646735,1e-04,0.0015,"*"
"8","38 vs 80",1,2.45025129795881,10.719809589818,0.215604397487743,1e-04,0.0015,"*"
"9","38 vs 65",1,1.78997883001819,7.73680079938445,0.162072042320109,1e-04,0.0015,"*"
"10","23 vs 53",1,2.29728547614388,10.2402452932741,0.154592502608287,1e-04,0.0015,"*"
"11","23 vs 80",1,3.44554919652158,20.1353281378975,0.358692623804294,1e-04,0.0015,"*"
"12","23 vs 65",1,2.55014418340344,14.5154275396469,0.281768554254463,1e-04,0.0015,"*"
"13","53 vs 80",1,1.624644521085,7.33189669719893,0.137476766274169,1e-04,0.0015,"*"
"14","53 vs 65",1,1.35422573063538,6.04278546722917,0.113922853296656,1e-04,0.0015,"*"
"15","80 vs 65",1,1.05789794963311,6.91550715302326,0.203903987689796,1e-04,0.0015,"*"
