"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","9 vs 38",1,2.02031036579014,5.97639782168924,0.149498157596549,1e-04,0.0015,"*"
"2","9 vs 23",1,2.19675241459049,7.77563687786242,0.200528927541655,1e-04,0.0015,"*"
"3","9 vs 53",1,2.19383247667112,6.68299151583634,0.140154619150034,1e-04,0.0015,"*"
"4","9 vs 80",1,2.5253264795522,9.61354849286281,0.314029211448784,1e-04,0.0015,"*"
"5","9 vs 65",1,2.37015794994531,8.66923714076114,0.282668822213358,1e-04,0.0015,"*"
"6","38 vs 23",1,1.72269878003083,5.46979167288911,0.100418810223054,1e-04,0.0015,"*"
"7","38 vs 53",1,1.5465822737442,4.53216204332956,0.0713364994605187,1e-04,0.0015,"*"
"8","38 vs 80",1,2.19849950769817,7.03331147644416,0.152787432640887,1e-04,0.0015,"*"
"9","38 vs 65",1,1.67456335291923,5.27871499905675,0.116582703355577,1e-04,0.0015,"*"
"10","23 vs 53",1,2.21310240159413,7.12348172756655,0.112849949537173,1e-04,0.0015,"*"
"11","23 vs 80",1,3.02161600861978,11.5046239792318,0.242179034703262,1e-04,0.0015,"*"
"12","23 vs 65",1,2.36715149095167,8.79931175516957,0.192127597947503,1e-04,0.0015,"*"
"13","53 vs 80",1,1.65376014484063,5.37381011554231,0.104602132943933,1e-04,0.0015,"*"
"14","53 vs 65",1,1.37559243744562,4.41176363129028,0.0858123378713503,1e-04,0.0015,"*"
"15","80 vs 65",1,1.17234430864275,4.71599450339786,0.148694517616107,1e-04,0.0015,"*"
