"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","9 vs 38",1,1.06750718961485,5.13474332514362,0.131206771499242,1e-04,0.0015,"*"
"2","9 vs 23",1,0.923281696920118,5.55759768613641,0.152023055066444,1e-04,0.0015,"*"
"3","9 vs 53",1,1.06760680928036,5.17564626360767,0.112086060129206,1e-04,0.0015,"*"
"4","9 vs 80",1,1.41165566299553,9.26389263017754,0.306103803082492,1e-04,0.0015,"*"
"5","9 vs 65",1,1.33307170775918,7.76849107772533,0.260963548922982,1e-04,0.0015,"*"
"6","38 vs 23",1,0.917100050108764,4.84957571661048,0.0900578259359354,1e-04,0.0015,"*"
"7","38 vs 53",1,0.598911327419083,2.81031060135015,0.0454666959930915,1e-04,0.0015,"*"
"8","38 vs 80",1,0.931478377651144,4.9652552471621,0.112935890380907,1e-04,0.0015,"*"
"9","38 vs 65",1,0.860211855649303,4.36017515010684,0.098290305107065,1e-04,0.0015,"*"
"10","23 vs 53",1,0.891854845106782,4.68733179528243,0.0772374012272328,1e-04,0.0015,"*"
"11","23 vs 80",1,1.11040557964774,7.4056789642025,0.170615438830253,1e-04,0.0015,"*"
"12","23 vs 65",1,1.11955963690274,6.93516737210115,0.157850027367939,1e-04,0.0015,"*"
"13","53 vs 80",1,0.916493102707323,4.84299227206641,0.0952538797510387,1e-04,0.0015,"*"
"14","53 vs 65",1,0.947300260975023,4.79761876692549,0.0926223807413504,1e-04,0.0015,"*"
"15","80 vs 65",1,0.545966429345188,3.66419695155837,0.119494306579979,1e-04,0.0015,"*"
