".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","Shannon_Index","9","23",9,24,9,5.03e-06,7.04e-05,"****"
"2","Shannon_Index","9","38",9,27,22,7.69e-05,0.000923,"***"
"3","Shannon_Index","9","53",9,34,26,2.99e-05,0.000389,"***"
"4","Shannon_Index","9","65",9,15,0,1.53e-06,2.3e-05,"****"
"5","Shannon_Index","9","80",9,14,7,0.00011,0.001,"**"
"6","Shannon_Index","23","38",24,27,438,0.031,0.188,"ns"
"7","Shannon_Index","23","53",24,34,496,0.168,0.672,"ns"
"8","Shannon_Index","23","65",24,15,124,0.11,0.55,"ns"
"9","Shannon_Index","23","80",24,14,247,0.016,0.113,"ns"
"10","Shannon_Index","38","53",27,34,390,0.322,0.684,"ns"
"11","Shannon_Index","38","65",27,15,64,0.000139,0.001,"**"
"12","Shannon_Index","38","80",27,14,216,0.471,0.684,"ns"
"13","Shannon_Index","53","65",34,15,110,0.001,0.01,"**"
"14","Shannon_Index","53","80",34,14,292,0.228,0.684,"ns"
"15","Shannon_Index","65","80",15,14,189,8.73e-05,0.00096,"***"
